Project ID,Voluntary Registry,Type,Country,R_ratio,Vintage_Age,M_flag,T_flag,RiskScore
GS4553,GOLD,Community Boreholes,Uganda,1.3892836684686,11.0,0,0,0.08649146822746893
GS5441,GOLD,Community Boreholes,Malawi,0.907943692907472,10.0,0,0,0.08637786635407646
GS11309,GOLD,Cookstoves,India,2.247150500483058,6.0,0,0,0.08625769535675794
GS5340,GOLD,Community Boreholes,Malawi,1.146495375859844,10.0,0,0,0.08625415592645584
VCS2556,VCS,Afforestation/Reforestation,Paraguay,1.144346943596294,10.0,0,0,0.08625415592645584
GS12256,GOLD,Clean Water,Kenya,0.9998897445179556,3.0,0,0,0.08624832782073351
GS11173,GOLD,Biodigesters,Mexico,1.0,3.0,0,0,0.08624832782073351
GS12327,GOLD,Carbon-Absorbing Concrete,Germany,1.0,3.0,0,0,0.08624832782073351
VCS4519,VCS,Energy Efficiency,United Arab Emirates,1.0,3.0,0,0,0.08624832782073351
GS12441,GOLD,Clean Water,Mali,1.0,3.0,0,0,0.08624832782073351
VCS3691,VCS,Clean Water,Senegal,1.0,3.0,0,0,0.08624832782073351
VCS3094,VCS,Road Construction Emission Reductions,United States,0.2668903004353657,8.0,0,0,0.0861607366410912
GS7333,GOLD,Community Boreholes,Eritrea,0.5232794267455386,9.0,0,0,0.0861286147353213
GS7332,GOLD,Community Boreholes,Eritrea,0.5237947988910797,9.0,0,0,0.0861286147353213
CAR1434,CAR,Improved Forest Management,Mexico,0.0613990759894935,7.0,0,0,0.08612784038742606
GS12712,GOLD,Cookstoves,Nepal,0.892989446748729,3.0,0,0,0.08611471309467075
GS11639,GOLD,Clean Water,Rwanda,0.8933765526964603,3.0,0,0,0.08611471309467075
VCS4975,VCS,Cookstoves,Madagascar,0.0781276611794435,7.0,0,0,0.0861137401746896
GS5099,GOLD,Waste Recycling,Romania,1.444434229679001,9.0,0,0,0.08608726712640126
GS4536,GOLD,Cookstoves,South Africa,0.4191718456424338,9.0,0,0,0.08607222236925223
VCS2502,VCS,REDD+,Peru,1.407381279757382,9.0,0,0,0.08593395469679922
CAR2108,CAR,Lower Carbon Cement & Concrete,United States,0.763000773395205,3.0,0,0,0.08581206907694383
GS12252,GOLD,Clean Water,Kenya,0.7638526811161569,3.0,0,0,0.08581206907694383
GS12347,GOLD,Cookstoves,India,0.7714214414760213,3.0,0,0,0.08581206907694383
GS7649,GOLD,Clean Water,Mozambique,0.7714506229450653,3.0,0,0,0.08581206907694383
GS12718,GOLD,Cookstoves,Nepal,0.7703079007225048,3.0,0,0,0.08581206907694383
GS5396,GOLD,Community Boreholes,Rwanda,0.9161852968430374,10.0,0,0,0.08573918247888551
ACR884,ACR,Ozone Depleting Substances Recovery & Destruction,United States,0.5189017651353055,3.0,0,0,0.08566606277727239
GS7436,GOLD,Clean Water,Ethiopia,1.7161439454640264,8.0,0,0,0.08561890520245301
GS12717,GOLD,Cookstoves,Nepal,0.772932624765855,3.0,0,0,0.0855149232197371
VCS1944,VCS,Sustainable Agriculture,Kenya,0.926757344539054,10.0,0,0,0.08548792293277138
GS12365,GOLD,Cookstoves,India,0.535518992585859,3.0,0,0,0.08523654622082044
GS12263,GOLD,Clean Water,Kenya,0.5352895211028655,3.0,0,0,0.08523654622082044
GS5825,GOLD,Community Boreholes,Eritrea,0.6184760244862008,9.0,0,0,0.08522593913977916
GS12710,GOLD,Cookstoves,Nepal,0.9083489430024084,3.0,0,0,0.0851747044009273
ACR1104,ACR,Advanced Refrigerants,United States,0.5465753783462548,3.0,0,0,0.08507911232800706
CAR1539,CAR,Improved Forest Management,Mexico,0.0337647272513355,6.0,0,0,0.08498246734160406
ACR882,ACR,Ozone Depleting Substances Recovery & Destruction,United States,0.9165786513747534,3.0,0,0,0.08485393949020598
GS12255,GOLD,Clean Water,Kenya,0.914998932902532,3.0,0,0,0.08485393949020598
GS12711,GOLD,Cookstoves,Nepal,0.9162231151324592,3.0,0,0,0.08485393949020598
CAR1246,CAR,Manure Methane Digester,United States,1.349009233251388,9.0,0,0,0.08476182529042252
GS12731,GOLD,Cookstoves,Nepal,0.582105465614129,3.0,0,0,0.08474907835496849
GS12258,GOLD,Clean Water,Kenya,0.5823827948768515,3.0,0,0,0.08474907835496849
GS12749,GOLD,Cookstoves,Nepal,0.4094569507626439,3.0,0,0,0.08474830944637145
GS12368,GOLD,Cookstoves,India,0.412670748965788,3.0,0,0,0.08474830944637145
GS12736,GOLD,Cookstoves,Nepal,0.5220284486218892,3.0,0,0,0.0847125156889486
GS12735,GOLD,Cookstoves,Nepal,0.5232922046427616,3.0,0,0,0.0847125156889486
CAR1962,CAR,Improved Forest Management,Mexico,0.5219715549587937,3.0,0,0,0.0847125156889486
GS7318,GOLD,Cookstoves,Uganda,0.2741426944440189,8.0,0,0,0.08465228343901475
GS12732,GOLD,Cookstoves,Nepal,0.5626630652930158,3.0,0,0,0.08459224885729245
GS12240,GOLD,Clean Water,Rwanda,0.5498021480058988,3.0,0,0,0.08457214631510603
GS12733,GOLD,Cookstoves,Nepal,0.557705253211132,3.0,0,0,0.08446056381770126
CAR1704,CAR,Improved Forest Management,Mexico,2.1456642432313924,4.0,0,0,0.08444935995608643
GS12253,GOLD,Clean Water,Kenya,0.9275542126036368,3.0,0,0,0.08444606868363333
