Project ID,Project Name,Voluntary Registry,Type,Scope,Country,Region,Methodology / Protocol,Voluntary Status,Reduction / Removal,First Year of Project (Vintage),Total Credits  Issued,Total Credits  Retired,Total Credits Remaining,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,start_year,start_year_missing,Vintage_Age
ACR158,"Truck Stop Electrification, Utah",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2007.0,3499,3499,0,0,0,0,0,0,0,0,0,0,0,0,845,1479,1085,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,19.0
ACR159,"Truck Stop Electrification, West Virginia",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,2551,1735,816,0,0,0,0,0,0,0,0,0,0,124,909,916,556,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR160,Tyson Wastewater Treatment,ACR,Methane Recovery in Wastewater,Waste Management,United States,North America,ACM0014 Treatment of wastewater,Completed,Reduction,2008.0,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,18.0
ACR161,Upper Rock LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2006.0,184632,167794,16838,0,0,0,0,0,0,0,0,0,0,129666,54966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR162,International Paper,ACR,Energy Efficiency,Industrial & Commercial,United States,North America,"Monitoring, Reporting and Verification Protocol for Cogeneration",Completed,Reduction,2003.0,439035,2168,436867,0,0,0,0,0,0,0,135250,164750,139035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR163,Des Plaines LFG to Energy,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2003.0,115875,70730,45145,0,0,0,0,0,0,0,2026,0,3266,61164,49419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR164,DANC,ACR,Landfill Methane,Waste Management,United States,North America,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Completed,Reduction,2003.0,476553,363537,113016,0,0,0,0,0,0,0,68238,75658,76118,122662,133877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR165,Malhas Menegotti Industria Textil Fuel Switch,ACR,Fuel Switching,Industrial & Commercial,Brazil,Latin America and the Caribbean,AMS-I.C. Thermal energy production with or without electricity,Completed,Reduction,2013.0,253991,231891,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253991,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,ACR,N2O Destruction in Adipic Acid Production,Chemical Processes,United States,North America,Nitrous Oxide Abatement Protocol,Completed,Reduction,2001.0,125000,0,125000,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,25.0
ACR170,ECC ODS Destruction 2012,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,2012.0,306517,306517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306517,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,14.0
ACR171,Nitrous Oxide Reduction in Corn,ACR,Nitrogen Management,Agriculture,United States,North America,ACR Methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,Completed,Reduction,2011.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0,15.0
ACR172,EOS ARB ODS 2013-2,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,2013.0,55996,55996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55996,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
ACR173,Round Valley Indian Tribes Improved Forest Management Project,ACR,Improved Forest Management,Forestry & Land Use,United States,North America,ARB Compliance Offset Protocol: U.S. Forest Projects,,Mixed,2013.0,519168,469880,49288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464571,7177,38711,2926,0,1941,1934,0,1908,0,0,0,0,2013,0,13.0
ACR174,Blue Source - Bishop Improved Forest Management Project,ACR,Improved Forest Management,Forestry & Land Use,United States,North America,ARB Compliance Offset Protocol: U.S. Forest Projects,,Mixed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ACR175,DPC Domestic ODS Destruction Project #12,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ACR176,ECC ODS Destruction 2013,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,2013.0,255227,254284,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255227,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
ACR177,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),ACR,Hydropower,Renewable Energy,Brazil,Latin America and the Caribbean,ACM0002 Grid-connected electricity generation from renewable sources,Completed,Reduction,2009.0,673609,41066,632543,0,0,0,0,0,0,0,0,0,0,0,0,0,24245,132737,91970,102825,180189,141643,0,0,0,0,0,0,0,0,0,0,0,2009,0,17.0
ACR178,EOS ARB ODS 2013-4,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ACR179,Wabashco Clean Sweep I,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,2013.0,50600,50600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
ACR181,EOS ARB ODS 2013-6,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,Reduction,2013.0,51864,51864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51864,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
ACR182,Hanes Ranch Forest Carbon Project,ACR,Improved Forest Management,Forestry & Land Use,United States,North America,ARB Compliance Offset Protocol: U.S. Forest Projects,,Mixed,2013.0,138837,120947,17890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86628,8121,8121,0,9941,8850,8877,729,6975,595,0,0,0,2013,0,13.0
ACR183,D.P.C. Domestic ODS Destruction Project #12,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,Completed,Reduction,2013.0,38517,38517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38517,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
ACR184,EOS ACR 2013,ACR,Ozone Depleting Substances Recovery & Destruction,Chemical Processes,United States,North America,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,Completed,Reduction,2013.0,249025,249025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249025,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,13.0
